Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime
,,,,,,,,
0, HARRIS, BRISK,115,17,23.238596,0.538178,0,0
1, HARRIS, BRISK,98,14,19.016055,1.275437,12,0.165898
2, HARRIS, BRISK,113,18,18.659555,1.298848,10,0.080762
3, HARRIS, BRISK,121,21,18.375834,1.334872,14,0.108093
4, HARRIS, BRISK,160,26,19.119608,1.390261,15,0.099023
5, HARRIS, BRISK,383,43,35.638824,0.736991,16,0.127403
6, HARRIS, BRISK,85,18,18.843127,1.321533,16,0.1167
7, HARRIS, BRISK,210,31,21.932331,1.489372,15,0.105212
8, HARRIS, BRISK,171,26,19.92736,1.42507,23,0.110885
9, HARRIS, BRISK,281,34,26.487914,1.454187,21,0.107824
,,,,,,,,
0, HARRIS, BRIEF,115,17,17.396324,1.501907,0,0
1, HARRIS, BRIEF,98,14,16.112433,0.945971,14,0.066979
2, HARRIS, BRIEF,113,18,16.15554,0.959244,11,0.054824
3, HARRIS, BRIEF,121,21,17.17502,0.975903,15,0.082167
4, HARRIS, BRIEF,160,26,20.440817,0.992622,20,0.084546
5, HARRIS, BRIEF,383,43,32.532344,0.39581,24,0.104133
6, HARRIS, BRIEF,85,18,17.630005,1.145203,26,0.112359
7, HARRIS, BRIEF,210,31,18.275759,1.457884,16,0.147485
8, HARRIS, BRIEF,171,26,16.971866,1.0348,24,0.101162
9, HARRIS, BRIEF,281,34,22.887291,1.499518,23,0.093296
,,,,,,,,
0, HARRIS, ORB,115,17,15.880243,1.10964,0,0
1, HARRIS, ORB,98,14,15.944801,1.001929,12,0.071288
2, HARRIS, ORB,113,18,16.663725,1.084451,12,0.0714
3, HARRIS, ORB,121,21,19.331405,1.034175,15,0.091078
4, HARRIS, ORB,160,26,18.507989,1.004332,18,0.100575
5, HARRIS, ORB,383,43,33.256006,0.919381,24,0.111671
6, HARRIS, ORB,85,18,20.007136,0.90549,20,0.127444
7, HARRIS, ORB,210,31,19.823219,1.13212,15,0.099821
8, HARRIS, ORB,171,26,17.931386,1.275259,24,0.091759
9, HARRIS, ORB,281,34,24.633342,1.059328,22,0.109113
,,,,,,,,
0, HARRIS, FREAK,115,17,18.332491,45.372198,0,0
1, HARRIS, FREAK,98,14,17.71117,39.315912,13,0.075683
2, HARRIS, FREAK,113,18,14.035945,39.015993,13,0.076696
3, HARRIS, FREAK,121,21,11.846462,41.48278,15,0.095344
4, HARRIS, FREAK,160,26,12.900793,39.448055,15,0.092271
5, HARRIS, FREAK,383,43,30.004613,40.884088,17,0.1207
6, HARRIS, FREAK,85,18,13.20242,41.605887,20,0.12051
7, HARRIS, FREAK,210,31,18.0176,39.728207,12,0.105367
8, HARRIS, FREAK,171,26,16.661151,41.587362,21,0.116018
9, HARRIS, FREAK,281,34,18.087957,41.773835,18,0.135324
,,,,,,,,
,,,,,,,,
0, HARRIS, SIFT,115,17,14.605862,22.525253,0,0
1, HARRIS, SIFT,98,14,11.639991,16.507208,14,0.077735
2, HARRIS, SIFT,113,18,13.418226,17.764415,11,0.056187
3, HARRIS, SIFT,121,21,18.769921,18.108365,16,0.074129
4, HARRIS, SIFT,160,26,12.803211,20.481991,19,0.088288
5, HARRIS, SIFT,383,43,30.464179,18.217051,22,0.11102
6, HARRIS, SIFT,85,18,13.399778,17.499288,22,0.112969
7, HARRIS, SIFT,210,31,20.914015,18.092824,13,0.08658
8, HARRIS, SIFT,171,26,14.72237,18.788163,24,0.107332
9, HARRIS, SIFT,281,34,20.978266,17.957756,22,0.1022
,,,,,,,,
0, FAST, BRISK,1824,149,1.080513,2.344795,0,0
1, FAST, BRISK,1832,152,0.985827,2.002641,97,0.60877
2, FAST, BRISK,1810,150,1.320561,1.926318,104,0.64082
3, FAST, BRISK,1817,155,1.298356,2.025018,101,0.645902
4, FAST, BRISK,1793,149,1.357848,1.732773,98,0.627442
5, FAST, BRISK,1796,149,0.967844,2.42674,85,0.601884
6, FAST, BRISK,1788,156,1.32022,1.825374,107,0.655652
7, FAST, BRISK,1695,150,1.315997,1.741029,107,0.636269
8, FAST, BRISK,1749,138,1.293013,1.617421,100,0.569136
9, FAST, BRISK,1770,143,1.63258,1.684209,100,0.563357
,,,,,,,,
0, FAST, BRIEF,1824,149,0.979181,1.341012,0,0
1, FAST, BRIEF,1832,152,0.983427,0.781418,119,0.591419
2, FAST, BRIEF,1810,150,1.274203,1.037709,130,0.586333
3, FAST, BRIEF,1817,155,0.963307,0.806463,118,0.575966
4, FAST, BRIEF,1793,149,0.946726,0.743197,126,0.564732
5, FAST, BRIEF,1796,149,1.001222,0.703686,108,0.54499
6, FAST, BRIEF,1788,156,0.959942,0.741639,123,0.820383
7, FAST, BRIEF,1695,150,0.935022,0.765862,131,0.657755
8, FAST, BRIEF,1749,138,0.974925,0.665247,125,0.536343
9, FAST, BRIEF,1770,143,1.014462,0.723341,119,0.493309
,,,,,,,,
0, FAST, ORB,1824,149,1.009123,1.054282,0,0
1, FAST, ORB,1832,152,1.420557,1.637017,118,0.634825
2, FAST, ORB,1810,150,0.949486,1.048886,123,0.62292
3, FAST, ORB,1817,155,0.95808,1.081221,112,0.620403
4, FAST, ORB,1793,149,0.966284,1.046322,126,0.624529
5, FAST, ORB,1796,149,0.987199,0.998579,106,0.588127
6, FAST, ORB,1788,156,0.953853,1.08884,122,1.030315
7, FAST, ORB,1695,150,0.968124,1.017005,122,0.636288
8, FAST, ORB,1749,138,1.027607,1.133511,123,0.577292
9, FAST, ORB,1770,143,1.344726,1.631352,119,0.525932
,,,,,,,,
0, FAST, FREAK,1824,149,1.040337,43.270791,0,0
1, FAST, FREAK,1832,152,1.049493,44.123301,98,0.624251
2, FAST, FREAK,1810,150,0.984345,40.818917,99,0.629814
3, FAST, FREAK,1817,155,0.96904,43.153586,91,0.629818
4, FAST, FREAK,1793,149,1.229597,43.687854,98,0.631
5, FAST, FREAK,1796,149,0.986383,40.592813,85,0.609484
6, FAST, FREAK,1788,156,1.001617,43.182129,99,0.63722
7, FAST, FREAK,1695,150,1.230238,40.881394,102,0.629026
8, FAST, FREAK,1749,138,0.989287,42.310551,101,0.563738
9, FAST, FREAK,1770,143,0.967503,41.346023,105,0.549423
,,,,,,,,
,,,,,,,,
0, FAST, SIFT,1824,149,1.058746,28.026294,0,0
1, FAST, SIFT,1832,152,1.002556,29.122504,118,1.735937
2, FAST, SIFT,1810,150,0.98532,29.678589,123,1.101872
3, FAST, SIFT,1817,155,0.971754,29.490487,110,1.1124
4, FAST, SIFT,1793,149,0.974418,33.828327,119,1.09383
5, FAST, SIFT,1796,149,1.029333,38.386714,114,1.050051
6, FAST, SIFT,1788,156,0.960063,34.490315,119,1.072347
7, FAST, SIFT,1695,150,1.321794,36.81218,123,1.10497
8, FAST, SIFT,1749,138,0.966434,37.164856,117,1.02414
9, FAST, SIFT,1770,143,1.28444,36.530882,103,0.966145
,,,,,,,,
0, BRISK, BRISK,2757,264,42.468839,2.903017,0,0
1, BRISK, BRISK,2777,282,42.057561,3.127472,171,1.780308
2, BRISK, BRISK,2741,282,41.269628,3.093441,176,1.937005
3, BRISK, BRISK,2735,277,40.815312,3.039754,157,1.873384
4, BRISK, BRISK,2757,297,41.44216,3.260837,176,1.955871
5, BRISK, BRISK,2695,279,40.878481,3.043442,174,1.943289
6, BRISK, BRISK,2715,289,40.679452,3.159826,188,1.8999
7, BRISK, BRISK,2628,272,39.903147,2.995106,173,1.888175
8, BRISK, BRISK,2639,266,40.222131,2.9935,171,1.782618
9, BRISK, BRISK,2672,254,40.931867,2.82734,184,1.62828
,,,,,,,,
0, BRISK, BRIEF,2757,264,41.451586,1.141814,0,0
1, BRISK, BRIEF,2777,282,41.440031,1.194964,178,1.654324
2, BRISK, BRIEF,2741,282,41.051125,1.124377,205,1.765454
3, BRISK, BRIEF,2735,277,41.900926,1.10685,185,1.721447
4, BRISK, BRIEF,2757,297,43.158898,1.344538,179,1.823688
5, BRISK, BRIEF,2695,279,54.454341,1.15287,183,1.806963
6, BRISK, BRIEF,2715,289,65.826999,2.788731,195,6.67954
7, BRISK, BRIEF,2628,272,42.621696,1.158809,207,1.984202
8, BRISK, BRIEF,2639,266,43.683648,1.099556,189,1.772363
9, BRISK, BRIEF,2672,254,55.364124,1.3064,183,1.513803
,,,,,,,,
0, BRISK, ORB,2757,264,49.40472,4.940543,0,0
1, BRISK, ORB,2777,282,41.210262,5.108794,162,1.797169
2, BRISK, ORB,2741,282,41.436674,5.278844,175,1.832827
3, BRISK, ORB,2735,277,47.983838,5.033531,158,1.871786
4, BRISK, ORB,2757,297,42.277556,5.084557,167,1.856363
5, BRISK, ORB,2695,279,41.189091,4.960177,160,1.885104
6, BRISK, ORB,2715,289,41.056867,4.972019,182,1.858044
7, BRISK, ORB,2628,272,39.986636,4.966474,167,1.855413
8, BRISK, ORB,2639,266,40.629052,5.11604,171,1.735748
9, BRISK, ORB,2672,254,40.647875,4.889253,172,1.619737
,,,,,,,,
0, BRISK, FREAK,2757,264,41.13338,46.067857,0,0
1, BRISK, FREAK,2777,282,42.135785,45.407381,160,1.497199
2, BRISK, FREAK,2741,282,40.884565,44.356601,177,1.651634
3, BRISK, FREAK,2735,277,41.887163,44.105827,155,1.68691
4, BRISK, FREAK,2757,297,41.440659,43.989913,173,1.732688
5, BRISK, FREAK,2695,279,41.71564,43.923447,161,1.695739
6, BRISK, FREAK,2715,289,40.904032,43.936001,183,1.658747
7, BRISK, FREAK,2628,272,39.989974,43.832807,169,1.625891
8, BRISK, FREAK,2639,266,41.229709,44.72224,178,1.499272
9, BRISK, FREAK,2672,254,40.621849,43.601211,168,1.389655
,,,,,,,,
,,,,,,,,
0, BRISK, SIFT,2757,264,41.566289,69.624252,0,0
1, BRISK, SIFT,2777,282,42.650949,68.385865,182,3.286715
2, BRISK, SIFT,2741,282,42.430425,67.464175,193,3.390203
3, BRISK, SIFT,2735,277,40.813853,71.271314,169,3.603724
4, BRISK, SIFT,2757,297,40.805304,70.209748,183,3.776134
5, BRISK, SIFT,2695,279,41.075393,75.756715,171,3.547796
6, BRISK, SIFT,2715,289,40.681548,68.842057,195,3.946424
