Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime,True-Positive %
0, FAST, BRISK,1824,149,1.08051,2.34480,0,0.00000,-
1, FAST, BRISK,1832,152,0.98583,2.00264,97,0.60877,63.82%
2, FAST, BRISK,1810,150,1.32056,1.92632,104,0.64082,69.33%
3, FAST, BRISK,1817,155,1.29836,2.02502,101,0.64590,65.16%
4, FAST, BRISK,1793,149,1.35785,1.73277,98,0.62744,65.77%
5, FAST, BRISK,1796,149,0.96784,2.42674,85,0.60188,57.05%
6, FAST, BRISK,1788,156,1.32022,1.82537,107,0.65565,68.59%
7, FAST, BRISK,1695,150,1.31600,1.74103,107,0.63627,71.33%
8, FAST, BRISK,1749,138,1.29301,1.61742,100,0.56914,72.46%
9, FAST, BRISK,1770,143,1.63258,1.68421,100,0.56336,69.93%
,,,,,,,,,
0, FAST, BRIEF,1824,149,0.97918,1.34101,0,0.00000,-
1, FAST, BRIEF,1832,152,0.98343,0.78142,119,0.59142,78.29%
2, FAST, BRIEF,1810,150,1.27420,1.03771,130,0.58633,86.67%
3, FAST, BRIEF,1817,155,0.96331,0.80646,118,0.57597,76.13%
4, FAST, BRIEF,1793,149,0.94673,0.74320,126,0.56473,84.56%
5, FAST, BRIEF,1796,149,1.00122,0.70369,108,0.54499,72.48%
6, FAST, BRIEF,1788,156,0.95994,0.74164,123,0.82038,78.85%
7, FAST, BRIEF,1695,150,0.93502,0.76586,131,0.65776,87.33%
8, FAST, BRIEF,1749,138,0.97493,0.66525,125,0.53634,90.58%
9, FAST, BRIEF,1770,143,1.01446,0.72334,119,0.49331,83.22%
,,,,,,,,,
0, FAST, ORB,1824,149,1.00912,1.05428,0,0.00000,-
1, FAST, ORB,1832,152,1.42056,1.63702,118,0.63483,77.63%
2, FAST, ORB,1810,150,0.94949,1.04889,123,0.62292,82.00%
3, FAST, ORB,1817,155,0.95808,1.08122,112,0.62040,72.26%
4, FAST, ORB,1793,149,0.96628,1.04632,126,0.62453,84.56%
5, FAST, ORB,1796,149,0.98720,0.99858,106,0.58813,71.14%
6, FAST, ORB,1788,156,0.95385,1.08884,122,1.03032,78.21%
7, FAST, ORB,1695,150,0.96812,1.01701,122,0.63629,81.33%
8, FAST, ORB,1749,138,1.02761,1.13351,123,0.57729,89.13%
9, FAST, ORB,1770,143,1.34473,1.63135,119,0.52593,83.22%
